row_id,icd9_code,short_title,long_title,charlson_puntaje
48,1784,TB esophagus-cult dx,"Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
49,1785,TB esophagus-histo dx,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
50,1786,TB esophagus-oth test,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
51,1790,TB of organ NEC-unspec,"Tuberculosis of other specified organs, unspecified",1
52,1791,TB of organ NEC-no exam,"Tuberculosis of other specified organs, bacteriological or histological examination not done",1
53,63,Amebic liver abscess,Amebic liver abscess,1
54,64,Amebic lung abscess,Amebic lung abscess,1
55,65,Amebic brain abscess,Amebic brain abscess,1
56,66,Amebic skin ulceration,Amebic skin ulceration,1
57,68,Amebic infection NEC,Amebic infection of other sites,1
58,69,Amebiasis NOS,"Amebiasis, unspecified",1
59,70,Balantidiasis,Balantidiasis,1
60,71,Giardiasis,Giardiasis,1
61,72,Coccidiosis,Coccidiosis,1
62,73,Intest trichomoniasis,Intestinal trichomoniasis,1
63,74,Cryptosporidiosis,Cryptosporidiosis,1
64,75,Cyclosporiasis,Cyclosporiasis,1
65,78,Protozoal intest dis NEC,Other specified protozoal intestinal diseases,1
66,79,Protozoal intest dis NOS,Unspecified protozoal intestinal disease,1
67,800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified",1
68,801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli,1
69,802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli,1
70,803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli,1
71,804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli,1
72,809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections,1
73,81,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli,1
74,82,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes,1
75,83,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii),1
76,841,Staphylococc enteritis,Intestinal infection due to staphylococcus,1
77,842,Pseudomonas enteritis,Intestinal infection due to pseudomonas,1
78,843,Int infec campylobacter,Intestinal infection due to campylobacter,1
79,844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica,1
80,845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,1
81,846,Intes infec oth anerobes,Intestinal infection due to other anaerobes,1
82,847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria,1
83,849,Bacterial enteritis NEC,Intestinal infection due to other organisms,1
84,85,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",1
85,861,Intes infec rotavirus,Enteritis due to rotavirus,1
86,862,Intes infec adenovirus,Enteritis due to adenovirus,1
87,863,Int inf norwalk virus,Enteritis due to norwalk virus,1
88,864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's],1
89,865,Enteritis d/t calicivirs,Enteritis due to calicivirus,1
90,866,Intes infec astrovirus,Enteritis due to astrovirus,1
91,867,Int inf enterovirus NEC,Enteritis due to enterovirus nec,1
92,869,Other viral intes infec,Enteritis due to other viral enteritis,1
93,88,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",1
94,90,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",1
95,91,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",1
96,92,Infectious diarrhea NOS,Infectious diarrhea,1
97,93,Diarrhea of infect orig,Diarrhea of presumed infectious origin,1
98,1000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified",1
99,1001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done",1
100,1002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",1
101,1003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",1
102,1004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
103,1005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
104,1006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
105,1010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",1
106,1011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",1
107,1012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",1
108,1013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",1
109,1014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
110,1015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
111,1016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
112,1080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified",1
113,1081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done",1
114,1082,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",1
115,1083,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",1
116,1084,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
117,1085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
118,1086,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
119,1090,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified",1
120,1091,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",1
121,1092,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",1
122,1093,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",1
123,1094,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
124,1095,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
125,1096,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
126,1100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified",1
127,1101,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",1
128,1102,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",1
129,1103,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",1
130,1104,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
131,1105,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
132,1106,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
133,1110,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified",1
134,1111,TB lung nodular-no exam,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",1
135,1112,TB lung nodul-exam unkn,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",1
136,1113,TB lung nodular-micro dx,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",1
137,1114,TB lung nodular-cult dx,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
138,1115,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
139,1116,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
140,1120,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified",1
141,1121,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",1
142,1122,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",1
143,1123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",1
144,1124,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
145,1125,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
146,1126,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
147,1130,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified",1
148,1131,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done",1
149,1132,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",1
150,1133,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",1
151,1134,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",1
152,1135,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
153,1136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
154,1140,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified",1
155,1141,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",1
156,1142,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",1
157,1143,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",1
158,1144,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
159,1145,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
160,1146,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
161,1150,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified",1
162,1151,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done",1
163,1152,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",1
164,1153,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",1
165,1154,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
166,1155,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
167,1156,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
168,1160,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified",1
169,1161,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",1
170,1162,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",1
171,1163,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",1
172,1164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
173,1165,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
174,1166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
175,1170,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified",1
176,1171,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done",1
177,1172,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",1
178,1173,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",1
179,1174,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
180,1175,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
181,1176,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
182,1180,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified",1
183,1181,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",1
184,1182,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",1
185,1183,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",1
186,1184,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
187,1185,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
188,1186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
189,1190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified",1
190,1191,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",1
191,1192,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",1
192,1193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",1
193,1194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
194,1195,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
195,1196,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
196,1200,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified",1
197,1201,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done",1
198,1202,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",1
199,1203,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",1
200,1204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
201,1205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
202,1206,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
203,1210,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified",1
204,1211,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",1
205,1212,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",1
206,1213,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",1
207,1214,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
208,1215,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
209,1216,TB thorax node-oth test,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
210,1220,Isol tracheal tb-unspec,"Isolated tracheal or bronchial tuberculosis, unspecified",1
211,1221,Isol tracheal tb-no exam,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",1
212,1222,Isol trach tb-exam unkn,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",1
213,1223,Isolat trach tb-micro dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",1
214,1224,Isol tracheal tb-cult dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
215,1225,Isolat trach tb-histo dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
216,1226,Isolat trach tb-oth test,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
217,1230,TB laryngitis-unspec,"Tuberculous laryngitis, unspecified",1
218,1231,TB laryngitis-no exam,"Tuberculous laryngitis, bacteriological or histological examination not done",1
219,1232,TB laryngitis-exam unkn,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",1
220,1233,TB laryngitis-micro dx,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",1
221,1234,TB laryngitis-cult dx,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
222,1235,TB laryngitis-histo dx,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
223,1236,TB laryngitis-oth test,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
224,1280,Resp TB NEC-unspec,"Other specified respiratory tuberculosis, unspecified",1
225,1281,Resp TB NEC-no exam,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",1
226,1282,Resp TB NEC-exam unkn,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",1
227,1283,Resp TB NEC-micro dx,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",1
228,1284,Resp TB NEC-cult dx,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",1
229,1285,Resp TB NEC-histo dx,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",1
230,1286,Resp TB NEC-oth test,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
231,1300,TB meningitis-unspec,"Tuberculous meningitis, unspecified",1
232,1301,TB meningitis-no exam,"Tuberculous meningitis, bacteriological or histological examination not done",1
233,10,Cholera d/t vib cholerae,Cholera due to vibrio cholerae,1
234,11,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor,1
235,19,Cholera NOS,"Cholera, unspecified",1
236,20,Typhoid fever,Typhoid fever,1
237,21,Paratyphoid fever a,Paratyphoid fever A,1
238,22,Paratyphoid fever b,Paratyphoid fever B,1
239,23,Paratyphoid fever c,Paratyphoid fever C,1
240,29,Paratyphoid fever NOS,"Paratyphoid fever, unspecified",1
241,30,Salmonella enteritis,Salmonella gastroenteritis,1
242,31,Salmonella septicemia,Salmonella septicemia,1
243,320,Local salmonella inf NOS,"Localized salmonella infection, unspecified",1
244,321,Salmonella meningitis,Salmonella meningitis,1
245,322,Salmonella pneumonia,Salmonella pneumonia,1
246,323,Salmonella arthritis,Salmonella arthritis,1
247,324,Salmonella osteomyelitis,Salmonella osteomyelitis,1
248,329,Local salmonella inf NEC,Other localized salmonella infections,1
249,38,Salmonella infection NEC,Other specified salmonella infections,1
250,39,Salmonella infection NOS,"Salmonella infection, unspecified",1
251,40,Shigella dysenteriae,Shigella dysenteriae,1
252,41,Shigella flexneri,Shigella flexneri,1
253,42,Shigella boydii,Shigella boydii,1
254,43,Shigella sonnei,Shigella sonnei,1
255,48,Shigella infection NEC,Other specified shigella infections,1
256,49,Shigellosis NOS,"Shigellosis, unspecified",1
257,50,Staph food poisoning,Staphylococcal food poisoning,1
258,51,Botulism food poisoning,Botulism food poisoning,1
259,52,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii),1
260,53,Food pois: clostrid NEC,Food poisoning due to other Clostridia,1
261,54,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus,1
262,581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus,1
263,589,Bact food poisoning NEC,Other bacterial food poisoning,1
264,59,Food poisoning NOS,"Food poisoning, unspecified",1
265,60,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess,1
266,61,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess,1
267,62,Amebic nondysent colitis,Amebic nondysenteric colitis,1
268,1676,TB fem gen NEC-oth test,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",1
